===== HYBRID: 16 PROCESSES × 8 THREADS =====
N  sequential  mpi  speedup
1024  0.000426587  0.00221956  0.192194
2048  0.000971274  0.00294678  0.329605
4096  0.00242028  0.00459154  0.527116
8192  0.0051962  0.00551453  0.942275
16384  0.00465666  0.00817061  0.569928
32768  0.0107492  0.0166232  0.646638
65536  0.0209484  0.0295953  0.707829
131072  0.0401786  0.0312239  1.28679
262144  0.0823106  0.0557223  1.47716
524288  0.174571  0.106606  1.63754
1048576  0.365764  0.198852  1.83938
