===== HYBRID: 16 PROCESSES × 1 THREADS =====
N  sequential  mpi  speedup
1024  0.000360374  0.000582319  0.61886
2048  0.000936959  0.00108116  0.866623
4096  0.00221923  0.00216697  1.02412
8192  0.00394627  0.00403229  0.978666
16384  0.00535696  0.00721  0.74299
32768  0.0128893  0.0177812  0.724884
65536  0.0223091  0.0356904  0.625074
131072  0.0387666  0.0499659  0.775861
262144  0.0826564  0.0780433  1.05911
524288  0.174075  0.0997632  1.74488
1048576  0.363333  0.252621  1.43825
