===== HYBRID: 1 PROCESSES × 16 THREADS =====
N  sequential  mpi  speedup
1024  0.000451318  0.0024843  0.181668
2048  0.00086411  0.002824  0.305988
4096  0.0018021  0.00422559  0.426472
8192  0.00330629  0.00638007  0.518222
16384  0.00464808  0.00986992  0.470934
32768  0.00883222  0.0144634  0.610658
65536  0.0187276  0.0225476  0.83058
131072  0.0392137  0.0418991  0.935907
262144  0.0820897  0.0857157  0.957697
524288  0.173067  0.179389  0.964759
1048576  0.363416  0.369659  0.983113
