===== HYBRID: 8 PROCESSES × 8 THREADS =====
N  sequential  mpi  speedup
1024  0.0003756  0.00262149  0.143278
2048  0.000760403  0.00185801  0.409258
4096  0.00178409  0.0023244  0.767551
8192  0.0042548  0.0041558  1.02382
16384  0.0089476  0.00701198  1.27605
32768  0.0102326  0.00789572  1.29596
65536  0.0187197  0.0131255  1.42621
131072  0.0390314  0.0208646  1.8707
262144  0.0837787  0.0414981  2.01886
524288  0.173043  0.0869977  1.98906
1048576  0.362806  0.183978  1.97201
