===== HYBRID: 4 PROCESSES × 8 THREADS =====
N  sequential  mpi  speedup
1024  0.0004884  0.00240038  0.203468
2048  0.00115432  0.00275402  0.419138
4096  0.00226508  0.00307341  0.736994
8192  0.00395327  0.00438749  0.901031
16384  0.00809805  0.00614972  1.31682
32768  0.0167959  0.00982268  1.70991
65536  0.018641  0.0125676  1.48325
131072  0.0393198  0.0231266  1.7002
262144  0.0832994  0.0414176  2.01121
524288  0.174169  0.0852801  2.04231
1048576  0.365805  0.169919  2.15281
