===== HYBRID: 1 PROCESSES × 4 THREADS =====
N  sequential  mpi  speedup
1024  0.000303876  0.000549234  0.553272
2048  0.000764084  0.00110619  0.690737
4096  0.00186908  0.00279483  0.668762
8192  0.00422339  0.00490335  0.861327
16384  0.0052566  0.00847568  0.620199
32768  0.0087102  0.014471  0.601907
65536  0.0184715  0.0223501  0.826459
131072  0.0387736  0.0422618  0.917461
262144  0.0816809  0.0838336  0.974321
524288  0.171774  0.177151  0.969648
1048576  0.366036  0.367321  0.996502
