===== 1D HYBRID: 16 PROCESSES × 1 THREADS =====
N  sequential  mpi  speedup
1024  0.000528145  0.000830908  0.635624
2048  0.00101761  0.00120929  0.841498
4096  0.00195908  0.0016759  1.16897
8192  0.00347576  0.00315808  1.10059
16384  0.0100342  0.00925721  1.08393
32768  0.012045  0.0137638  0.875115
65536  0.0191043  0.0157762  1.21096
131072  0.0391552  0.0242196  1.61667
262144  0.106588  0.049661  2.14632
524288  0.241563  0.193078  1.25112
1048576  0.530166  0.502415  1.05524
