===== HYBRID: 8 PROCESSES × 8 THREADS =====
N  sequential  mpi  speedup
1024  0.000280427  0.00109785  0.255434
2048  0.000801479  0.00222325  0.360498
4096  0.00213991  0.00290243  0.737284
8192  0.00315567  0.00316321  0.997618
16384  0.00468346  0.00615874  0.760458
32768  0.00911777  0.00941034  0.96891
65536  0.0195154  0.0132994  1.46738
131072  0.0394972  0.0236776  1.66812
262144  0.0828143  0.0449156  1.84378
524288  0.17372  0.0913966  1.90072
1048576  0.369456  0.181871  2.03142
