===== HYBRID: 4 PROCESSES × 4 THREADS =====
N  sequential  mpi  speedup
1024  0.000206788  0.00135045  0.153125
2048  0.000444426  0.00199045  0.223279
4096  0.000932567  0.00198654  0.469444
8192  0.00379613  0.00338375  1.12187
16384  0.00747161  0.00623487  1.19836
32768  0.0143436  0.0114448  1.25329
65536  0.0193882  0.0122695  1.5802
131072  0.0398549  0.0231344  1.72276
262144  0.0820007  0.04753  1.72524
524288  0.176405  0.0873016  2.02063
1048576  0.365344  0.178901  2.04216
