===== 1D HYBRID: 8 PROCESSES × 8 THREADS =====
N  sequential  mpi  speedup
1024  0.000524542  0.00225355  0.232762
2048  0.00122217  0.00262938  0.464813
4096  0.0014324  0.00210715  0.679778
8192  0.00468442  0.00450102  1.04075
16384  0.0064639  0.00714209  0.905044
32768  0.00881758  0.00629477  1.40078
65536  0.0187493  0.0133967  1.39955
131072  0.0395684  0.0257114  1.53895
262144  0.0828991  0.0415001  1.99757
524288  0.173657  0.0936982  1.85337
1048576  0.367611  0.180743  2.03389
