===== 1D HYBRID: 16 PROCESSES × 16 THREADS =====
N  sequential  mpi  speedup
1024  0.000521636  0.00583187  0.0894457
2048  0.0011755  0.004631  0.253833
4096  0.00235512  0.00690618  0.341017
8192  0.00478882  0.0091283  0.524612
16384  0.00858155  0.0121832  0.704378
32768  0.0120172  0.0197294  0.609101
65536  0.0246809  0.0334378  0.738113
131072  0.0394301  0.0441657  0.892777
262144  0.0845421  0.0609657  1.38672
524288  0.239193  0.141403  1.69157
1048576  0.481767  0.331252  1.45438
