===== 1D HYBRID: 4 PROCESSES × 8 THREADS =====
N  sequential  mpi  speedup
1024  0.000554544  0.0025935  0.21382
2048  0.000961375  0.00243629  0.394607
4096  0.00242696  0.00347217  0.698976
8192  0.00362872  0.00403444  0.899436
16384  0.00790019  0.00575469  1.37283
32768  0.0112855  0.00884351  1.27613
65536  0.0226863  0.012946  1.75237
131072  0.0395363  0.0218137  1.81246
262144  0.0825652  0.0457653  1.8041
524288  0.17261  0.0877269  1.96759
1048576  0.364129  0.171337  2.12522
