===== 1D HYBRID: 16 PROCESSES × 8 THREADS =====
N  sequential  mpi  speedup
1024  0.000594129  0.00524452  0.113286
2048  0.000599552  0.00217408  0.275773
4096  0.00229622  0.00588804  0.38998
8192  0.004183  0.00575077  0.727381
16384  0.00513023  0.00971947  0.52783
32768  0.00895897  0.0177193  0.505605
65536  0.0213295  0.0289685  0.736299
131072  0.0395365  0.0220428  1.79363
262144  0.0827222  0.0540987  1.5291
524288  0.17968  0.0968988  1.8543
1048576  0.375135  0.21531  1.7423
