Percentage,Error
1.00000000000000000000000000000000000000000000000000,0.15966538168798091734679189812595723196864128112793
5.00000000000000000000000000000000000000000000000000,0.09535434753330628010470348954186192713677883148193
10.00000000000000000000000000000000000000000000000000,0.06202737987872617569928834768688830081373453140259
15.00000000000000000000000000000000000000000000000000,0.04735321101990869196995959100604522973299026489258
25.00000000000000000000000000000000000000000000000000,0.03440304087042332648049836052450700663030147552490
40.00000000000000000000000000000000000000000000000000,0.02511537214168358886356990922195109305903315544128
50.00000000000000000000000000000000000000000000000000,0.02085144382217067951512667889346630545333027839661
60.00000000000000000000000000000000000000000000000000,0.01677405762869016783711550999669270822778344154358
75.00000000000000000000000000000000000000000000000000,0.00922596111622547322694831706257900805212557315826
85.00000000000000000000000000000000000000000000000000,0.00515836811589532803767887969570438144728541374207
90.00000000000000000000000000000000000000000000000000,0.00349067634971133525928488339218347391579300165176
95.00000000000000000000000000000000000000000000000000,0.00149432828827182596041767137506894869147799909115
99.00000000000000000000000000000000000000000000000000,0.00026851975646616081140616305589219336980022490025
