ThresholdOrRadius,Error,FrequenciesEliminated
10,2.75379e-07,2
50,1.61802e-05,56
100,6.0277e-05,208
200,0.000208338,646
500,0.00128878,3880
1000,0.00491285,14304
2500,0.0188097,45603
5000,0.0297183,58539
7000,0.0344179,60995
