===== HYBRID: 8 PROCESSES × 4 THREADS =====
N  sequential  mpi  speedup
1024  0.000451832  0.00134487  0.335968
2048  0.000978518  0.00195042  0.501696
4096  0.00197263  0.0030041  0.656647
8192  0.00374422  0.00302012  1.23976
16384  0.00885753  0.00693952  1.27639
32768  0.00938835  0.00812413  1.15561
65536  0.0188425  0.0122501  1.53815
131072  0.0395284  0.0218056  1.81276
262144  0.083104  0.0415592  1.99965
524288  0.173714  0.0861875  2.01553
1048576  0.363354  0.187553  1.93734
