===== HYBRID: 1 PROCESSES × 16 THREADS =====
N  sequential  mpi  speedup
1024  0.000467437  0.00241389  0.193645
2048  0.00093601  0.00316236  0.295985
4096  0.00189191  0.00446067  0.424131
8192  0.00321908  0.00573825  0.560987
16384  0.00472063  0.0106487  0.443308
32768  0.00891142  0.0145131  0.614027
65536  0.0187074  0.0233405  0.8015
131072  0.0393471  0.0426799  0.921912
262144  0.0824363  0.0864959  0.953066
524288  0.173644  0.180002  0.964683
1048576  0.364808  0.374392  0.974401
