===== HYBRID: 16 PROCESSES × 4 THREADS =====
N  sequential  mpi  speedup
1024  0.000455451  0.00205985  0.221109
2048  0.00082239  0.00173373  0.474348
4096  0.00237235  0.00271975  0.872265
8192  0.00450414  0.00459947  0.979275
16384  0.00964242  0.00844115  1.14231
32768  0.0150201  0.0140473  1.06925
65536  0.0187036  0.0253745  0.737102
131072  0.0391792  0.0425768  0.920199
262144  0.0956411  0.0532771  1.79516
524288  0.17411  0.0975524  1.78478
1048576  0.37038  0.183333  2.02026
