===== HYBRID: 8 PROCESSES × 8 THREADS =====
N  sequential  mpi  speedup
1024  0.000465661  0.00221297  0.210424
2048  0.000942104  0.00203157  0.463731
4096  0.00132379  0.00269073  0.491982
8192  0.00529127  0.00401351  1.31836
16384  0.00612434  0.0072187  0.848399
32768  0.010825  0.0100538  1.07671
65536  0.0189419  0.0129123  1.46697
131072  0.03928  0.0220833  1.77872
262144  0.0821328  0.0410515  2.00073
524288  0.172807  0.089962  1.92088
1048576  0.369662  0.175969  2.10072
